,Patient_loc,Responder_loc,duration_Responder,route_Responder,Indirect_Responder_loc,AED_loc,duration_AED,route_indirect_Responder,Vector_loc,duration_Vector,route_Vector,prob_vec,prob_resp,patient_loc,responder_loc,aed_loc,vector_loc
295,,,14.26,,No AED,,10000.0,No AED,,604.38,,0.34600693034668867,0.7228040325327715,"(4.742925, 50.872948)","(4.742991777405593, 50.873019783562434)",No AED,"(4.7243436, 50.8696549)"
296,,,10000.0,,No AED,,10000.0,No AED,,507.29,,0.4103250617798331,0.4103250617798331,"(4.728325, 50.881109)",No responder,No AED,"(4.7243436, 50.8696549)"
297,,,40.77,,No AED,,10000.0,No AED,,167.86,,0.7447076135738159,0.8727464955844071,"(4.707283, 50.87486)","(4.706688124563648, 50.87450969449455)",No AED,"(4.6998331, 50.8723536)"
298,,,10000.0,,No AED,,10000.0,No AED,,286.76,,0.6043794653045583,0.6043794653045583,"(4.693275, 50.875681)",No responder,No AED,"(4.6998331, 50.8723536)"
299,,,115.67,,No AED,,10000.0,No AED,,341.69,,0.5488058315715971,0.7277065893037422,"(4.717382, 50.882139)","(4.719148428158618, 50.881772731896945)",No AED,"(4.7243436, 50.8696549)"
300,,,10000.0,,No AED,,10000.0,No AED,,485.1,,0.42662931006983656,0.42662931006983656,"(4.732413, 50.877136)",No responder,No AED,"(4.7243436, 50.8696549)"
301,,,10000.0,,No AED,,10000.0,No AED,,167.71,,0.7449037963555315,0.7449037963555315,"(4.696008, 50.865783)",No responder,No AED,"(4.6998331, 50.8723536)"
302,,,233.2,,No AED,,10000.0,No AED,,336.22,,0.5541027115139682,0.6301485690931166,"(4.720521, 50.906588)","(4.719520326028821, 50.907237033135566)",No AED,"(4.6658621, 50.8774603)"
303,,,398.62,,No AED,,10000.0,No AED,,809.28,,0.24144764139990937,0.4031473645758972,"(4.749483, 50.876186)","(4.745259430410427, 50.87795368208202)",No AED,"(4.7243436, 50.8696549)"
304,,,187.74,,No AED,,10000.0,No AED,,389.35,,0.5047449906837617,0.6491956998206644,"(4.706932, 50.888097)","(4.7049938573766745, 50.88782421267507)",No AED,"(4.6658621, 50.8774603)"
305,,,236.48,,No AED,,10000.0,No AED,,695.3,,0.29494901277989766,0.5229954723574844,"(4.696409, 50.916768)","(4.696317417171105, 50.91901846604756)",No AED,"(4.6658621, 50.8774603)"
306,,,10000.0,,No AED,,10000.0,No AED,,503.73,,0.412898198473669,0.412898198473669,"(4.700127, 50.88697)",No responder,No AED,"(4.6658621, 50.8774603)"
307,,,92.84,,No AED,,10000.0,No AED,,247.51,,0.6475044018714566,0.785412204097659,"(4.681273, 50.877351)","(4.679742811747693, 50.87733506565938)",No AED,"(4.6731993, 50.8780791)"
308,,,10000.0,,No AED,,10000.0,No AED,,11.44,,0.9801116959836041,0.9801116959836041,"(4.699681, 50.872547)",No responder,No AED,"(4.6998331, 50.8723536)"
309,,,54.63,,"(4.706371763836498, 50.87693265075111)",,,,,662.12,,0.31264453321023156,,"(4.707, 50.880141)","(4.707830418931326, 50.87992222768996)","(4.7046611, 50.8810353)","(4.6998331, 50.8723536)"
310,,,10000.0,,No AED,,10000.0,No AED,,159.9,,0.755190099334552,0.755190099334552,"(4.703768, 50.877466)",No responder,No AED,"(4.6998331, 50.8723536)"
311,,,36.95,,"(4.729918990548709, 50.87910372979958)",,,,,541.16,,0.3866321283045056,,"(4.735101, 50.876686)","(4.734424191522765, 50.87691576862651)","(4.7346682, 50.8825443)","(4.7243436, 50.8696549)"
312,,,6.99,,"(4.706371763836498, 50.87693265075111)",,,,,352.89,,0.538117752020928,,"(4.709322, 50.876482)","(4.709100990783135, 50.87645252052008)","(4.7046611, 50.8810353)","(4.6998331, 50.8723536)"
313,,,255.48,,No AED,,10000.0,No AED,,669.5,,0.3086190057690523,0.5174699824850973,"(4.732815, 50.891628)","(4.728779454064364, 50.89018781070623)",No AED,"(4.7243436, 50.8696549)"
314,,,76.02,,No AED,,10000.0,No AED,,374.39,,0.5181802845415556,0.7520440830860807,"(4.69352, 50.85851)","(4.69345999475558, 50.85881685272172)",No AED,"(4.6998331, 50.8723536)"
315,,,539.66,,No AED,,10000.0,No AED,,659.77,,0.3139373641317951,0.36472127222901585,"(4.684083, 50.927715)","(4.692561913217972, 50.92463771272076)",No AED,"(4.6658621, 50.8774603)"
316,,,188.22,,No AED,,10000.0,No AED,,551.35,,0.37977536778290977,0.5975841681798986,"(4.725665, 50.887173)","(4.727904055562061, 50.88597485257435)",No AED,"(4.7243436, 50.8696549)"
317,,,10000.0,,No AED,,10000.0,No AED,,557.28,,0.3758412360051078,0.3758412360051078,"(4.696281, 50.903725)",No responder,No AED,"(4.6658621, 50.8774603)"
318,,,10000.0,,No AED,,10000.0,No AED,,690.8,,0.29728894422436414,0.29728894422436414,"(4.70948, 50.880288)",No responder,No AED,"(4.6998331, 50.8723536)"
319,,,136.58,,No AED,,10000.0,No AED,,611.61,,0.341641814641442,0.6181734014563994,"(4.728919, 50.92944)","(4.731138348703485, 50.930169195462334)",No AED,"(4.6658621, 50.8774603)"
320,,,10000.0,,No AED,,10000.0,No AED,,528.48,,0.39533751051794586,0.39533751051794586,"(4.712617, 50.881946)",No responder,No AED,"(4.6658621, 50.8774603)"
