,CD_REFNIS,CD_SECTOR,TOTAL,DT_STRT_SECTOR,DT_STOP_SECTOR,OPPERVLAKKTE IN HM²,TX_DESCR_SECTOR_NL,TX_DESCR_SECTOR_FR,TX_DESCR_NL,TX_DESCR_FR,TX_DESCR_SECTOR_NLL,TX_DESCR_SECTOR_FRR,SECTOR
4263,24062,24062D00-,838,01Mar1981,31Dec9999,12.82886116,HEVERLEE-CENTRUM,HEVERLEE-CENTRUM,Leuven,Louvain,HEVERLEE-CENTRUM,HEVERLEE-CENTRUM,D00-
4264,24062,24062D01-,347,01Mar1981,31Dec9999,16.28035547,HEVERLEE - DREEF,HEVERLEE - DREEF,Leuven,Louvain,HEVERLEE - DREEF,HEVERLEE - DREEF,D01-
4265,24062,24062D02-,1301,01Mar1981,31Dec9999,12.86518031,HEVERLEE NAAMSE POORT,HEVERLEE NAAMSE POORT,Leuven,Louvain,HEVERLEE NAAMSE POORT,HEVERLEE NAAMSE POORT,D02-
4266,24062,24062D03-,2940,01Mar1981,31Dec9999,48.66263821,HEVERLEE STATION,HEVERLEE STATION,Leuven,Louvain,HEVERLEE STATION,HEVERLEE STATION,D03-
4267,24062,24062D04-,1715,01Mar1981,31Dec9999,132.2152226,HEVERLEE - WAVERSE BAAN,HEVERLEE - WAVERSE BAAN,Leuven,Louvain,HEVERLEE - WAVERSE BAAN,HEVERLEE - WAVERSE BAAN,D04-
4268,24062,24062D05-,570,01Mar1981,31Dec9999,21.63989754,MOLENBEEK,MOLENBEEK,Leuven,Louvain,MOLENBEEK,MOLENBEEK,D05-
4269,24062,24062D10-,967,01Mar1981,31Dec9999,12.09583234,SINT-ANTONIUS,SINT-ANTONIUS,Leuven,Louvain,SINT-ANTONIUS,SINT-ANTONIUS,D10-
4270,24062,24062D11-,1055,01Mar1981,31Dec9999,26.67547755,H. HART,H. HART,Leuven,Louvain,H. HART,H. HART,D11-
4271,24062,24062D19-,94,01Mar1981,31Dec9999,25.70834424,HEVERLEE KERKHOF,HEVERLEE KERKHOF,Leuven,Louvain,HEVERLEE KERKHOF,HEVERLEE KERKHOF,D19-
4272,24062,24062D209,656,01Mar1981,31Dec9999,44.45034516,HEVERLEE PARK,HEVERLEE PARK,Leuven,Louvain,HEVERLEE PARK,HEVERLEE PARK,D209
4273,24062,24062D21-,1580,01Mar1981,31Dec9999,29.26284271,MATADI,MATADI,Leuven,Louvain,MATADI,MATADI,D21-
4274,24062,24062D22-,3107,01Mar1981,31Dec9999,44.02886432,SAFFRANENBERG,SAFFRANENBERG,Leuven,Louvain,SAFFRANENBERG,SAFFRANENBERG,D22-
4275,24062,24062D290,105,01Mar1981,31Dec9999,102.1485163,HEVERLEE KAZERNE,HEVERLEE KAZERNE,Leuven,Louvain,HEVERLEE KAZERNE,HEVERLEE KAZERNE,D290
4276,24062,24062D310,926,01Mar1981,31Dec9999,61.15364996,DE JACHT,DE JACHT,Leuven,Louvain,DE JACHT,DE JACHT,D310
4277,24062,24062D390,14,01Mar1981,31Dec9999,468.015175,HEVERLEEBOS,HEVERLEEBOS,Leuven,Louvain,HEVERLEEBOS,HEVERLEEBOS,D390
4278,24062,24062D410,522,01Mar1981,31Dec9999,167.1837133,CAMPUS HEVERLEE,CAMPUS HEVERLEE,Leuven,Louvain,CAMPUS HEVERLEE,CAMPUS HEVERLEE,D410
4279,24062,24062D500,726,01Mar1981,31Dec9999,27.03707411,EGENHOVEN,EGENHOVEN,Leuven,Louvain,EGENHOVEN,EGENHOVEN,D500
4280,24062,24062D512,659,01Mar1981,31Dec9999,47.11475174,BOOLEEG,BOOLEEG,Leuven,Louvain,BOOLEEG,BOOLEEG,D512
4281,24062,24062D591,144,01Mar1981,31Dec9999,257.1995384,ROTSPOEL-VERSPREIDE BEWONING,ROTSPOEL-VERSPREIDE BEWONING,Leuven,Louvain,ROTSPOEL-VERSPREIDE BEWONING,ROTSPOEL-VERSPREIDE BEWONING,D591
4282,24062,24062D60-,855,01Mar1981,31Dec9999,32.32169482,TERBANK,TERBANK,Leuven,Louvain,TERBANK,TERBANK,D60-
4283,24062,24062D61-,600,01Mar1981,31Dec9999,12.84742034,TER ELST,TER ELST,Leuven,Louvain,TER ELST,TER ELST,D61-
4284,24062,24062D622,926,01Mar1981,31Dec9999,81.76299566,VOGELZANG,VOGELZANG,Leuven,Louvain,VOGELZANG,VOGELZANG,D622
4285,24062,24062D633,92,01Mar1981,31Dec9999,37.89881612,GASTHUISBERG,GASTHUISBERG,Leuven,Louvain,GASTHUISBERG,GASTHUISBERG,D633
4286,24062,24062D644,2876,01Mar1981,31Dec9999,87.58519666,IJZERMOLEN,IJZERMOLEN,Leuven,Louvain,IJZERMOLEN,IJZERMOLEN,D644
4287,24062,24062D691,181,01Mar1981,31Dec9999,166.4651634,ALSEMBERG,ALSEMBERG,Leuven,Louvain,ALSEMBERG,ALSEMBERG,D691
4288,24062,24062E70-,486,01Mar1981,31Dec9999,15.80248775,IJZEREN BRUGJE,IJZEREN BRUGJE,Leuven,Louvain,IJZEREN BRUGJE,IJZEREN BRUGJE,E70-
4289,24062,24062E710,905,01Mar1981,31Dec9999,23.77894485,SPAANSE KROON,SPAANSE KROON,Leuven,Louvain,SPAANSE KROON,SPAANSE KROON,E710
4290,24062,24062E72-,324,01Mar1981,31Dec9999,10.0292968,ZIEKELINGEN,ZIEKELINGEN,Leuven,Louvain,ZIEKELINGEN,ZIEKELINGEN,E72-
4291,24062,24062E732,1047,01Mar1981,31Dec9999,57.72677466,DE MOL,DE MOL,Leuven,Louvain,DE MOL,DE MOL,E732
4292,24062,24062E742,287,01Mar1981,31Dec9999,64.84441028,PREDIKHERENBRUG,PREDIKHERENBRUG,Leuven,Louvain,PREDIKHERENBRUG,PREDIKHERENBRUG,E742
4293,24062,24062E774,165,01Mar1981,31Dec9999,237.7074991,HAASRODE INDUSTRIEZONE,HAASRODE INDUSTRIEZONE,Leuven,Louvain,HAASRODE INDUSTRIEZONE,HAASRODE INDUSTRIEZONE,E774
4294,24062,24062E790,291,01Mar1981,31Dec9999,113.3828927,DEN DUIVEL,DEN DUIVEL,Leuven,Louvain,DEN DUIVEL,DEN DUIVEL,E790
4295,24062,24062F40-,2506,01Mar1981,31Dec9999,99.4650149,WIJGMAAL-KERN,WIJGMAAL-KERN,Leuven,Louvain,WIJGMAAL-KERN,WIJGMAAL-KERN,F40-
4296,24062,24062F412,570,01Mar1981,31Dec9999,36.98881492,WIJVELD,WIJVELD,Leuven,Louvain,WIJVELD,WIJVELD,F412
4297,24062,24062F491,683,01Mar1981,31Dec9999,322.1207257,DRIES,DRIES,Leuven,Louvain,DRIES,DRIES,F491
