id,type,address,number,postal_code,municipality,province,location,public,available,hours,complete_address,latitude,longitude
4417.0,,Diestsesteenweg,52,3010.0,Kessel-Lo,Vlaams-Brabant,vergaderzaal,Y,,,"52 Diestsesteenweg, Kessel-Lo, Vlaams-Brabant, Belgium",50.8834141,4.718262999999999
4427.0,,Mgr. Ladeuzeplein ,21,3000.0,Leuven,Vlaams-Brabant,EHBO-lokaal,N,,,"21 Mgr. Ladeuzeplein, Leuven, Vlaams-Brabant, Belgium",50.8782258,4.7069755
4428.0,,Celestijnenlaan ,200,3001.0,Heverlee,Vlaams-Brabant,"inkomhal, glvl",N,,,"200 Celestijnenlaan, Heverlee, Vlaams-Brabant, Belgium",50.8627473,4.6753669
4429.0,,Herestraat,49,3000.0,Leuven,Vlaams-Brabant,"glvl, naast Alma",N,,,"49 Herestraat, Leuven, Vlaams-Brabant, Belgium",50.8782805,4.668996
4430.0,,E. Van Evenstraat,4,3000.0,Leuven,Vlaams-Brabant,"receptie, glvl",N,,,"4 E. Van Evenstraat, Leuven, Vlaams-Brabant, Belgium",50.874094,4.703816
4431.0,,Tiensestraat ,41,3000.0,Leuven,Vlaams-Brabant,"links inkomhal, glvl",N,,,"41 Tiensestraat, Leuven, Vlaams-Brabant, Belgium",50.8776436,4.7041349
4432.0,,Dekenstraat ,4,3000.0,Leuven,Vlaams-Brabant,"lokaal printer, glvl",N,,,"4 Dekenstraat, Leuven, Vlaams-Brabant, Belgium",50.8740913,4.7082684
4433.0,,Charles Deberiotstraat ,24,3000.0,Leuven,Vlaams-Brabant,"achter balie, ingang",N,,,"24 Charles Deberiotstraat, Leuven, Vlaams-Brabant, Belgium",50.8763292,4.7031955
4659.0,,Interleuvenlaan ,15,3001.0,Heverlee,Vlaams-Brabant,"receptie,1° verd",Y,,,"15 Interleuvenlaan, Heverlee, Vlaams-Brabant, Belgium",50.8478666,4.732186599999999
4851.0,,Naamsestraat ,22,3000.0,Leuven,Vlaams-Brabant,"glvl,aan trap lokaal tgo univhall",N,,,"22 Naamsestraat, Leuven, Vlaams-Brabant, Belgium",50.8778857,4.7005637
4991.0,,Albert Dejonghestraat ,2,3010.0,Kessel-Lo,Vlaams-Brabant,clubhouse,N,,,"2 Albert Dejonghestraat, Kessel-Lo, Vlaams-Brabant, Belgium",50.8764651,4.7275933
5080.0,,Diestsestraat,67,3000.0,Leuven,Vlaams-Brabant,klantendienst 1ste verdiep,N,,,"67 Diestsestraat, Leuven, Vlaams-Brabant, Belgium",50.8803956,4.7047368
