,patient_loc,responder_loc,duration_Responder,Indirect_Responder_loc,aed_loc,duration_AED,vector_loc,duration_Vector,prob_vec,prob_resp
104,"(4.700001, 50.890484)","(4.700076732022786, 50.89125053258206)",77.77,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",1276.04,0.10638005138166817,0.4747956881976574
105,"(4.74479, 50.87265)","(4.738964429809105, 50.87272985210185)",369.58,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1408.53,0.08429853560783221,0.3083831682161719
106,"(4.728318, 50.872861)","(4.729218560203905, 50.87320007378432)",54.02,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",411.25,0.48570271760875133,0.7586546368204444
107,"(4.769293, 50.885134)","(4.76602188650581, 50.88566770526503)",193.91,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",3083.93,0.004447524702433652,0.16404142797805188
108,"(4.718907, 50.891661)","(4.719273162666931, 50.8886275406724)",305.58,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",2209.8,0.02064199281990145,0.22239838591966582
109,"(4.705564, 50.881478)","(4.7054075683097665, 50.88133983949523)",5.67,"(4.704279800043451, 50.88129271647085)","(4.7046611, 50.8810353)",203.75,"(4.6953981, 50.8785355)",717.97,0.283438108888231,0.8953750790989286
110,"(4.69127, 50.877775)","(4.690549440140054, 50.8769808540266)",72.43,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",289.24,0.6017531751449363,0.7887924488243829
111,"(4.720021, 50.887237)","(4.720060607336931, 50.88707108967551)",17.05,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",1745.38,0.046658401085995435,0.403599331142181
112,"(4.698953, 50.872357)","(4.698740992502799, 50.87239720237233)",15.45,"(4.692363687606119, 50.86990142505781)","(4.692543, 50.86957)",684.47,"(4.6998331, 50.8723536)",95.81,0.845148283642679,0.9343302050152725
113,"(4.703825, 50.875225)","(4.703936951812145, 50.87478276506788)",21.45,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",386.15,0.5075892514066939,0.8002688057944867
114,"(4.673393, 50.872556)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",680.79,0.3025607815620394,0.3025607815620394
115,"(4.696224, 50.925403)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",5122.98,0.0001239048149611722,0.0001239048149611722
116,"(4.740574, 50.879191)","(4.739492513840106, 50.878821201273006)",77.54,"(4.73661970547018, 50.88230946718583)","(4.7346682, 50.8825443)",721.06,"(4.7243436, 50.8696549)",1420.23,0.08258426723732373,0.629489528828778
117,"(4.686867, 50.879795)","(4.686204939237126, 50.87928740205414)",102.18,No AED,No AED,10000.0,"(4.6953981, 50.8785355)",755.64,0.26529567130600895,0.5997992957068498
118,"(4.697661, 50.879028)","(4.697794449065772, 50.879193314154016)",16.96,"(4.704279800043451, 50.88129271647085)","(4.7046611, 50.8810353)",537.66,"(4.6953981, 50.8785355)",162.76,0.7514069031694119,0.9014075616766279
119,"(4.747375, 50.878563)","(4.739492513840106, 50.878821201273006)",487.4,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1577.23,0.06268522937931029,0.24435466668677555
120,"(4.729571, 50.882694)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1527.76,0.06837420194647062,0.06837420194647062
121,"(4.674005, 50.872799)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",722.03,0.28142455292886215,0.28142455292886215
122,"(4.711095, 50.923731)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",5632.04,5.0683474693601744e-05,5.0683474693601744e-05
123,"(4.703272, 50.928135)",No responder,10000.0,No AED,No AED,10000.0,"(4.6658621, 50.8774603)",5638.43,5.011793958879287e-05,5.011793958879287e-05
124,"(4.736453, 50.882717)",No responder,10000.0,No AED,No AED,10000.0,"(4.7243436, 50.8696549)",1445.32,0.07902473758772616,0.07902473758772616
125,"(4.705274, 50.856459)","(4.705323823138444, 50.85902158289997)",272.63,No AED,No AED,10000.0,"(4.6998331, 50.8723536)",1645.2,0.05563263222672689,0.30865518540190373
